ID,PlayerID,Player,Position,Age,MarketValue,TransferFee,TeamLeftID,TeamLeft,TeamLeft2,LeagueLeftID,LeagueLeft,CountryLeft,TeamJoinedID,TeamJoined,TeamJoined2,LeagueJoinedID,LeagueJoined,CountryJoined
132,396894,Maxi Gómez,Centre-Forward,23,40000000,14500000,940,Celta de Vigo,Celta de Vigo,ES1,LaLiga,Spain,1049,Valencia,Valencia CF,ES1,LaLiga,Spain
133,263727,Joan Jordán,Central Midfield,25,12000000,14000000,1533,SD Eibar,SD Eibar,ES1,LaLiga,Spain,368,Sevilla FC,Sevilla FC,ES1,LaLiga,Spain
134,92693,Darío Benedetto,Centre-Forward,29,15000000,14000000,189,Boca Juniors,Club Atlético Boca Juniors,AR1N,Superliga,Argentina,244,Marseille,Olympique Marseille,FR1,Ligue 1,France
135,207877,Ruslan Malinovskyi,Central Midfield,26,12500000,13700000,1184,KRC Genk,KRC Genk,BE1,Jupiler Pro League,Belgium,800,Atalanta,Atalanta BC,IT1,Serie A,Italy
136,168157,Leander Dendoncker,Defensive Midfield,24,18000000,13500000,58,RSC Anderlecht,RSC Anderlecht,BE1,Jupiler Pro League,Belgium,543,Wolves,Wolverhampton Wanderers,GB1,Premier League,England
137,127181,Benjamin Lecomte,Goalkeeper,28,17000000,13500000,969,Montpellier,HSC Montpellier,FR1,Ligue 1,France,162,Monaco,AS Monaco,FR1,Ligue 1,Monaco
138,380415,Henry Onyekuru,Left Winger,22,13000000,13500000,29,Everton,Everton FC,GB1,Premier League,England,162,Monaco,AS Monaco,FR1,Ligue 1,Monaco
139,413403,Ezri Konsa,Centre-Back,21,3500000,13300000,1148,Brentford,Brentford FC,GB2,Championship,England,405,Aston Villa,Aston Villa,GB1,Premier League,England
140,344381,Christopher Nkunku,Central Midfield,21,12000000,13000000,583,Paris SG,Paris Saint-Germain,FR1,Ligue 1,France,23826,RB Leipzig,RB Leipzig,L1,Bundesliga,Germany
141,384593,Alexis Claude-Maurice,Left Winger,21,7500000,13000000,1158,FC Lorient,FC Lorient,FR2,Ligue 2,France,417,OGC Nice,OGC Nice,FR1,Ligue 1,France
